Region	country	tax_revenue_pct_GDP	GDP_GUSD_PPP	tax_revenue_GUSD	govt_expenditure_pct_GDP	public_debt_pct_GDP
Sub-Saharan Africa	Rwanda	16.6	27.40	4.55	26	40.7
Asia-Pacific	Kazakhstan	16.4	508.60	83.41	22	21.9
Asia-Pacific	Cambodia	16.2	70.50	11.42	23.2	29.4
Americas	Mexico	16.2	2569.80	416.31	26.3	53.6
Sub-Saharan Africa	Mali	16.1	44.20	7.12	21.8	36.6
Asia-Pacific	Turkmenistan	15.6	112.70	17.58	15.1	29.3
Sub-Saharan Africa	Comoros	15.5	1.40	0.22	29.7	31.2
Americas	Peru	15.3	457.50	70.00	21.3	26.8
Middle East and North Africa	Lebanon	15.3	89.50	13.69	30.3	150.9
Middle East and North Africa	Egypt	15.2	1296.30	197.04	31.7	92.6
Sub-Saharan Africa	Zambia	15.2	72.90	11.08	24.7	72.4
Middle East and North Africa	Jordan	15	93.40	14.01	29.7	94.2
Americas	Panama	14.7	106.80	15.70	21.8	39.4
Americas	Suriname	14.6	8.90	1.30	29	69.6
Sub-Saharan Africa	Cameroon	14.4	95.30	13.72	19.8	37.7
Sub-Saharan Africa	Niger	14.4	23.50	3.38	26.5	55.1
Asia-Pacific	Philippines	14.2	952.60	135.27	20.1	39.6
Asia-Pacific	Hong Kong	14.1	480.50	67.75	18	0.1
Asia-Pacific	Singapore	14.1	565.80	79.78	17.2	108.3
Sub-Saharan Africa	Botswana	14	41.90	5.87	32.1	12.9
Americas	Dominican Republic	13.9	189.20	26.30	17.8	41.6
Americas	Paraguay	13.8	94.50	13.04	19.5	21.6
Asia-Pacific	Papua New Guinea	13.7	30.90	4.23	21.3	36.9
Asia-Pacific	Bhutan	13.6	7.80	1.06	31.1	102.6
Sub-Saharan Africa	Burundi	13.6	8.20	1.12	21.8	58.4
Asia-Pacific	Malaysia	13.6	999.40	135.92	22.6	56.2
Europe	Azerbaijan	13.3	179.70	23.90	35.1	19.4
Sub-Saharan Africa	Guinea	13.3	30.70	4.08	16.9	38.7
Americas	Haiti	13.3	20.70	2.75	18.8	33
Sub-Saharan Africa	Benin	13.2	27.70	3.66	23	54.6
Asia-Pacific	Timor-Leste	13.1	6.70	0.88	56.2	5.4
Sub-Saharan Africa	Uganda	13.1	97.00	12.71	19.7	42.2
Asia-Pacific	Micronesia	13	0.40	0.05	63.2	20.2
Asia-Pacific	Sri Lanka	12.6	290.60	36.62	19.2	84.1
Asia-Pacific	Pakistan	12.5	1141.40	142.68	21	72.1
Americas	Guatemala	12.4	145.60	18.05	12.1	24.5
Sub-Saharan Africa	São Tomé and Príncipe	12.1	0.70	0.08	27.6	81.3
Asia-Pacific	Laos	12	53.70	6.44	21.1	63
Sub-Saharan Africa	Liberia	11.9	6.30	0.75	33.9	40.5
Sub-Saharan Africa	Tanzania	11.8	175.80	20.74	16.8	36
Sub-Saharan Africa	Ethiopia	11.6	219.50	25.46	17.5	61.1
Asia-Pacific	Indonesia	11.5	3494.70	401.89	16.7	29.2
Sub-Saharan Africa	Madagascar	11.5	42.90	4.93	16.8	39.7
Sub-Saharan Africa	Sierra Leone	11.1	12.30	1.37	23.4	71.3
Sub-Saharan Africa	Guinea-Bissau	10.3	3.40	0.35	21.1	56.1
Sub-Saharan Africa	Angola	9.2	199.30	18.34	21.8	88.1
Middle East and North Africa	United Arab Emirates	9.2	723.70	66.58	30.5	18.7
Asia-Pacific	Bangladesh	9.1	761.70	69.31	13.7	34.8
Asia-Pacific	Taiwan	8.9	1251.50	111.38	17.8	35
Sub-Saharan Africa	Eritrea	8	10.00	0.80	29.1	129.4
Sub-Saharan Africa	Sudan	8	177.70	14.22	13.6	163
Middle East and North Africa	Bahrain	7.8	74.10	5.78	33.6	93.4
Sub-Saharan Africa	Chad	7.7	30.20	2.33	14.8	46.6
Asia-Pacific	Afghanistan|Taliban	7.6	72.60	5.52	26.3	7.1
Sub-Saharan Africa	Democratic Republic of the Congo	7.6	72.90	5.54	12.4	15.7
Middle East and North Africa	Yemen	7.4	73.30	5.42	10.8	63.2
Middle East and North Africa	Iran	7.3	1610.70	117.58	19	33.2
Sub-Saharan Africa	Cabo Verde	6.9	4.00	0.28	30.7	127.7
Sub-Saharan Africa	Central African Republic	6.9	3.60	0.25	14.7	48.5
Asia-Pacific	Burma	6.1	328.40	20.03	20.4	38.2
Sub-Saharan Africa	Equatorial Guinea	5.9	29.80	1.76	21.3	35.9
Middle East and North Africa	Qatar	4.9	354.80	17.39	34.3	48.4
Middle East and North Africa	Oman	4.2	198.50	8.34	46.1	50.9
Sub-Saharan Africa	Nigeria	3.6	1168.50	42.07	11.2	28.4
Middle East and North Africa	Saudi Arabia	3.4	1857.50	63.16	35.7	19.1
Middle East and North Africa	Iraq	2	673.30	13.47	36.7	48.4
Middle East and North Africa	Kuwait	1.4	306.40	4.29	50.9	14.8
