country	country_short	emotion	answer_yes	answer_no	answer_unsure	year
Madagascar	Madagascar	anger	26	74	0	2022
Malawi	Malawi	anger	19	81	0	2022
Malaysia	Malaysia	anger	15	85	1	2022
Mali	Mali	anger	31	69	0	2022
Malta	Malta	anger	24	75	0	2022
Mauritania	Mauritania	anger	36	64	0	2022
Mauritius	Mauritius	anger	10	90	0	2022
Mexico	Mexico	anger	9	91	0	2022
Moldova, Republic of	Moldova	anger	13	85	2	2022
Mongolia	Mongolia	anger	13	87	0	2022
Montenegro	Montenegro	anger	28	72	0	2022
Morocco	Morocco	anger	41	59	0	2022
Mozambique	Mozambique	anger	17	81	3	2022
Myanmar	Myanmar	anger	32	68	0	2022
Namibia	Namibia	anger	20	80	0	2022
Nepal	Nepal	anger	25	75	0	2022
Netherlands	Netherlands	anger	9	91	0	2022
New Zealand	New Zealand	anger	10	90	0	2022
Nicaragua	Nicaragua	anger	19	80	0	2022
Niger	Niger	anger	26	73	2	2022
Nigeria	Nigeria	anger	20	80	0	2022
North Macedonia	North Macedonia	anger	22	77	1	2022
Northern Cyprus	Northern Cyprus	anger	52	47	1	2022
Norway	Norway	anger	8	91	1	2022
Pakistan	Pakistan	anger	37	63	0	2022
Palestinian Territories	Palestine	anger	34	66	0	2022
Panama	Panama	anger	12	88	0	2022
Paraguay	Paraguay	anger	12	88	0	2022
Peru	Peru	anger	23	77	0	2022
Philippines	Philippines	anger	28	72	0	2022
Poland	Poland	anger	10	87	3	2022
Portugal	Portugal	anger	11	89	0	2022
Puerto Rico	Puerto Rico	anger	11	89	0	2022
Republic of the Congo	Republic of the Congo	anger	36	64	1	2022
Romania	Romania	anger	17	83	0	2022
Russian Federation	Russia	anger	14	85	0	2022
Saudi Arabia	Saudi Arabia	anger	20	79	0	2022
Senegal	Senegal	anger	20	79	0	2022
Serbia	Serbia	anger	18	80	1	2022
Sierra Leone	Sierra Leone	anger	37	62	1	2022
Singapore	Singapore	anger	15	85	0	2022
Slovakia	Slovakia	anger	24	76	0	2022
Slovenia	Slovenia	anger	14	85	1	2022
South Africa	South Africa	anger	16	83	1	2022
South Korea	South Korea	anger	18	82	0	2022
Spain	Spain	anger	19	81	0	2022
Sri Lanka	Sri Lanka	anger	30	70	0	2022
Sweden	Sweden	anger	9	91	0	2022
Switzerland	Switzerland	anger	13	87	0	2022
Taiwan, Republic of China	Taiwan	anger	9	91	0	2022
Tajikistan	Tajikistan	anger	21	78	0	2022
Tanzania	Tanzania	anger	15	85	0	2022
Thailand	Thailand	anger	13	86	0	2022
Togo	Togo	anger	33	66	1	2022
Tunisia	Tunisia	anger	31	69	0	2022
Türkiye	Turkey	anger	39	60	1	2022
Uganda	Uganda	anger	41	59	0	2022
Ukraine	Ukraine	anger	24	75	1	2022
United Arab Emirates	United Arab Emirates	anger	23	77	0	2022
United Kingdom of Great Britain and Northern Ireland	UK	anger	21	79	0	2022
United States of America	USA	anger	16	84	0	2022
Uruguay	Uruguay	anger	11	89	0	2022
Uzbekistan	Uzbekistan	anger	27	73	0	2022
Venezuela	Venezuela	anger	14	85	0	2022
Vietnam	Vietnam	anger	7	93	0	2022
Yemen	Yemen	anger	22	77	1	2022
Zambia	Zambia	anger	21	79	0	2022
Zimbabwe	Zimbabwe	anger	10	90	0	2022
Afghanistan	Afghanistan	sadness	57	42	0	2022
Albania	Albania	sadness	21	78	1	2022
Algeria	Algeria	sadness	19	80	1	2022
Argentina	Argentina	sadness	25	74	0	2022
Armenia	Armenia	sadness	52	48	0	2022
Australia	Australia	sadness	23	77	0	2022
Austria	Austria	sadness	22	78	0	2022
Azerbaijan	Azerbaijan	sadness	33	66	1	2022
Bangladesh	Bangladesh	sadness	47	53	0	2022
Belgium	Belgium	sadness	21	78	1	2022
Benin	Benin	sadness	41	58	0	2022
Bolivia	Bolivia	sadness	40	60	1	2022
Bosnia and Herzegovina	Bosnia and Herzegovina	sadness	21	79	1	2022
Botswana	Botswana	sadness	29	71	0	2022
Brazil	Brazil	sadness	28	72	0	2022
Bulgaria	Bulgaria	sadness	18	80	2	2022
Cambodia	Cambodia	sadness	40	60	0	2022
Cameroon	Cameroon	sadness	33	66	0	2022
Canada	Canada	sadness	25	75	0	2022
Chad	Chad	sadness	54	46	1	2022
Chile	Chile	sadness	22	78	0	2022
Colombia	Colombia	sadness	27	73	0	2022
Comoros	Comoros	sadness	35	65	0	2022
Costa Rica	Costa Rica	sadness	23	76	1	2022
Cote d'Ivoire	Cote d'Ivoire	sadness	38	61	0	2022
Croatia	Croatia	sadness	15	83	2	2022
Cyprus	Cyprus	sadness	24	75	1	2022
Czech Republic	Czech Republic	sadness	20	79	1	2022
Democratic Republic of the Congo	Democratic Republic of the Congo	sadness	47	53	0	2022
Denmark	Denmark	sadness	17	83	0	2022
Dominican Republic	Dominican Republic	sadness	30	70	1	2022
Ecuador	Ecuador	sadness	35	64	1	2022
Egypt	Egypt	sadness	29	71	0	2022
El Salvador	El Salvador	sadness	31	69	0	2022
Estonia	Estonia	sadness	19	81	1	2022
Eswatini	Eswatini	sadness	35	63	2	2022
Ethiopia	Ethiopia	sadness	30	70	0	2022
Finland	Finland	sadness	14	86	0	2022
France	France	sadness	23	77	0	2022
Gabon	Gabon	sadness	36	63	0	2022
Gambia	Gambia	sadness	44	55	0	2022
Georgia	Georgia	sadness	16	84	0	2022
Germany	Germany	sadness	19	80	0	2022
Ghana	Ghana	sadness	29	71	0	2022
Greece	Greece	sadness	14	86	1	2022
Guatemala	Guatemala	sadness	26	74	0	2022
Guinea	Guinea	sadness	50	49	1	2022
Honduras	Honduras	sadness	29	71	0	2022
Hong Kong, S.A.R. of China	Hong Kong	sadness	12	88	0	2022
Hungary	Hungary	sadness	22	77	0	2022
Iceland	Iceland	sadness	16	84	0	2022
India	India	sadness	44	56	0	2022
Indonesia	Indonesia	sadness	25	75	0	2022
Iran	Iran	sadness	41	58	0	2022
Iraq	Iraq	sadness	45	55	0	2022
Ireland	Ireland	sadness	22	78	0	2022
Israel	Israel	sadness	12	87	1	2022
Italy	Italy	sadness	31	69	0	2022
Jamaica	Jamaica	sadness	27	73	0	2022
Japan	Japan	sadness	10	90	0	2022
Jordan	Jordan	sadness	37	63	0	2022
Kazakhstan	Kazakhstan	sadness	13	85	2	2022
Kenya	Kenya	sadness	26	74	0	2022
Kosovo	Kosovo	sadness	7	92	1	2022
Kuwait	Kuwait	sadness	12	88	0	2022
Kyrgyzstan	Kyrgyzstan	sadness	15	85	0	2022
Lao People's Democratic Republic	Laos	sadness	31	67	1	2022
Latvia	Latvia	sadness	14	85	0	2022
Lebanon	Lebanon	sadness	39	61	0	2022
Lesotho	Lesotho	sadness	24	76	0	2022
Liberia	Liberia	sadness	49	51	0	2022
Libya	Libya	sadness	33	67	0	2022
Lithuania	Lithuania	sadness	14	82	4	2022
Luxembourg	Luxembourg	sadness	15	85	0	2022
Madagascar	Madagascar	sadness	35	65	0	2022
Malawi	Malawi	sadness	40	60	0	2022
Malaysia	Malaysia	sadness	17	82	1	2022
Mali	Mali	sadness	30	70	0	2022
Malta	Malta	sadness	25	74	1	2022
Mauritania	Mauritania	sadness	33	66	1	2022
Mauritius	Mauritius	sadness	18	81	0	2022
Mexico	Mexico	sadness	19	80	0	2022
Moldova, Republic of	Moldova	sadness	30	69	1	2022
Mongolia	Mongolia	sadness	17	83	0	2022
Montenegro	Montenegro	sadness	22	78	0	2022
Morocco	Morocco	sadness	35	65	0	2022
Mozambique	Mozambique	sadness	35	65	0	2022
Myanmar	Myanmar	sadness	29	71	0	2022
Namibia	Namibia	sadness	22	78	1	2022
Nepal	Nepal	sadness	32	67	2	2022
Netherlands	Netherlands	sadness	15	85	0	2022
New Zealand	New Zealand	sadness	21	79	0	2022
Nicaragua	Nicaragua	sadness	35	65	0	2022
Niger	Niger	sadness	36	62	2	2022
Nigeria	Nigeria	sadness	19	80	1	2022
North Macedonia	North Macedonia	sadness	22	76	2	2022
Northern Cyprus	Northern Cyprus	sadness	44	55	1	2022
Norway	Norway	sadness	21	79	0	2022
Pakistan	Pakistan	sadness	32	68	0	2022
Palestinian Territories	Palestine	sadness	27	73	0	2022
Panama	Panama	sadness	26	73	1	2022
Paraguay	Paraguay	sadness	17	82	0	2022
Peru	Peru	sadness	35	65	0	2022
Philippines	Philippines	sadness	30	70	0	2022
Poland	Poland	sadness	11	87	2	2022
Portugal	Portugal	sadness	30	70	0	2022
Puerto Rico	Puerto Rico	sadness	26	74	0	2022
Republic of the Congo	Republic of the Congo	sadness	48	52	0	2022
Romania	Romania	sadness	24	75	0	2022
Russian Federation	Russia	sadness	22	77	1	2022
Saudi Arabia	Saudi Arabia	sadness	19	81	0	2022
Senegal	Senegal	sadness	24	75	1	2022
Serbia	Serbia	sadness	19	79	2	2022
Sierra Leone	Sierra Leone	sadness	44	55	1	2022
Singapore	Singapore	sadness	16	84	0	2022
Slovakia	Slovakia	sadness	17	82	1	2022
Slovenia	Slovenia	sadness	12	88	0	2022
South Africa	South Africa	sadness	24	76	0	2022
South Korea	South Korea	sadness	17	83	0	2022
Spain	Spain	sadness	27	73	0	2022
Sri Lanka	Sri Lanka	sadness	34	66	0	2022
Sweden	Sweden	sadness	14	84	2	2022
Switzerland	Switzerland	sadness	18	82	0	2022
Taiwan, Republic of China	Taiwan	sadness	4	95	0	2022
Tajikistan	Tajikistan	sadness	20	80	0	2022
Tanzania	Tanzania	sadness	22	78	0	2022
Thailand	Thailand	sadness	15	85	0	2022
Togo	Togo	sadness	35	65	1	2022
Tunisia	Tunisia	sadness	16	84	0	2022
Türkiye	Turkey	sadness	34	66	0	2022
Uganda	Uganda	sadness	41	59	0	2022
Ukraine	Ukraine	sadness	41	59	0	2022
United Arab Emirates	United Arab Emirates	sadness	24	76	0	2022
United Kingdom of Great Britain and Northern Ireland	UK	sadness	27	72	0	2022
United States of America	USA	sadness	24	76	0	2022
Uruguay	Uruguay	sadness	25	74	0	2022
Uzbekistan	Uzbekistan	sadness	18	81	1	2022
Venezuela	Venezuela	sadness	26	74	0	2022
Vietnam	Vietnam	sadness	9	91	0	2022
Yemen	Yemen	sadness	18	81	0	2022
Zambia	Zambia	sadness	29	70	0	2022
Zimbabwe	Zimbabwe	sadness	19	81	0	2022
Afghanistan	Afghanistan	stress	68	31	1	2022
Albania	Albania	stress	47	53	0	2022
Algeria	Algeria	stress	25	73	1	2022
Argentina	Argentina	stress	40	59	1	2022
Armenia	Armenia	stress	33	66	1	2022
Australia	Australia	stress	42	58	0	2022
Austria	Austria	stress	32	68	0	2022
Azerbaijan	Azerbaijan	stress	40	59	1	2022
Bangladesh	Bangladesh	stress	39	59	2	2022
Belgium	Belgium	stress	39	60	1	2022
Benin	Benin	stress	36	60	3	2022
Bolivia	Bolivia	stress	52	46	1	2022
Bosnia and Herzegovina	Bosnia and Herzegovina	stress	34	65	1	2022
Botswana	Botswana	stress	37	63	0	2022
Brazil	Brazil	stress	41	59	0	2022
Bulgaria	Bulgaria	stress	23	74	2	2022
Cambodia	Cambodia	stress	42	58	0	2022
Cameroon	Cameroon	stress	42	57	1	2022
Canada	Canada	stress	51	49	0	2022
Chad	Chad	stress	50	48	2	2022
Chile	Chile	stress	37	62	0	2022
Colombia	Colombia	stress	47	53	0	2022
Comoros	Comoros	stress	43	57	0	2022
Costa Rica	Costa Rica	stress	47	53	0	2022
Cote d'Ivoire	Cote d'Ivoire	stress	34	64	2	2022
Croatia	Croatia	stress	36	63	1	2022
Cyprus	Cyprus	stress	55	45	0	2022
Czech Republic	Czech Republic	stress	35	65	1	2022
Democratic Republic of the Congo	Democratic Republic of the Congo	stress	42	52	6	2022
Denmark	Denmark	stress	25	75	0	2022
Dominican Republic	Dominican Republic	stress	49	50	1	2022
Ecuador	Ecuador	stress	55	45	1	2022
Egypt	Egypt	stress	45	55	0	2022
El Salvador	El Salvador	stress	49	50	1	2022
Estonia	Estonia	stress	23	77	1	2022
Eswatini	Eswatini	stress	47	53	0	2022
Ethiopia	Ethiopia	stress	33	67	0	2022
Finland	Finland	stress	41	59	0	2022
France	France	stress	34	65	0	2022
Gabon	Gabon	stress	33	66	0	2022
Gambia	Gambia	stress	46	54	0	2022
Georgia	Georgia	stress	19	81	0	2022
Germany	Germany	stress	35	65	0	2022
Ghana	Ghana	stress	49	51	0	2022
Greece	Greece	stress	54	45	0	2022
Guatemala	Guatemala	stress	39	61	0	2022
Guinea	Guinea	stress	42	56	2	2022
Honduras	Honduras	stress	43	57	1	2022
Hong Kong, S.A.R. of China	Hong Kong	stress	42	58	0	2022
Hungary	Hungary	stress	33	67	0	2022
Iceland	Iceland	stress	37	63	0	2022
India	India	stress	29	71	0	2022
Indonesia	Indonesia	stress	14	85	0	2022
Iran	Iran	stress	51	49	0	2022
Iraq	Iraq	stress	53	47	0	2022
Ireland	Ireland	stress	35	65	0	2022
Israel	Israel	stress	24	76	1	2022
Italy	Italy	stress	45	54	0	2022
Jamaica	Jamaica	stress	31	67	1	2022
Japan	Japan	stress	38	62	0	2022
Jordan	Jordan	stress	50	50	0	2022
Kazakhstan	Kazakhstan	stress	13	84	3	2022
Kenya	Kenya	stress	33	67	0	2022
Kosovo	Kosovo	stress	32	67	1	2022
Kuwait	Kuwait	stress	21	78	0	2022
Kyrgyzstan	Kyrgyzstan	stress	11	89	0	2022
Lao People's Democratic Republic	Laos	stress	29	69	2	2022
Latvia	Latvia	stress	17	83	0	2022
Lebanon	Lebanon	stress	65	35	0	2022
Lesotho	Lesotho	stress	35	64	1	2022
Liberia	Liberia	stress	58	42	0	2022
Libya	Libya	stress	48	52	0	2022
Lithuania	Lithuania	stress	19	76	5	2022
Luxembourg	Luxembourg	stress	42	57	2	2022
Madagascar	Madagascar	stress	49	51	0	2022
Malawi	Malawi	stress	31	69	0	2022
Malaysia	Malaysia	stress	19	81	1	2022
Mali	Mali	stress	32	67	0	2022
Malta	Malta	stress	52	48	0	2022
Mauritania	Mauritania	stress	35	64	1	2022
Mauritius	Mauritius	stress	26	73	0	2022
Mexico	Mexico	stress	39	61	0	2022
Moldova, Republic of	Moldova	stress	25	74	1	2022
Mongolia	Mongolia	stress	14	86	0	2022
Montenegro	Montenegro	stress	27	73	0	2022
Morocco	Morocco	stress	44	55	0	2022
Mozambique	Mozambique	stress	26	73	1	2022
Myanmar	Myanmar	stress	45	55	0	2022
Namibia	Namibia	stress	35	65	0	2022
Nepal	Nepal	stress	33	66	1	2022
Netherlands	Netherlands	stress	28	72	0	2022
New Zealand	New Zealand	stress	37	63	0	2022
Nicaragua	Nicaragua	stress	46	53	1	2022
Niger	Niger	stress	41	56	3	2022
Nigeria	Nigeria	stress	49	51	0	2022
North Macedonia	North Macedonia	stress	33	66	1	2022
Northern Cyprus	Northern Cyprus	stress	64	36	1	2022
Norway	Norway	stress	36	64	0	2022
Pakistan	Pakistan	stress	28	71	1	2022
Palestinian Territories	Palestine	stress	47	53	0	2022
Panama	Panama	stress	37	62	0	2022
Paraguay	Paraguay	stress	34	64	2	2022
Peru	Peru	stress	53	47	0	2022
Philippines	Philippines	stress	48	51	1	2022
Poland	Poland	stress	19	80	1	2022
Portugal	Portugal	stress	42	58	0	2022
Puerto Rico	Puerto Rico	stress	42	58	0	2022
Republic of the Congo	Republic of the Congo	stress	41	57	2	2022
Romania	Romania	stress	35	64	1	2022
Russian Federation	Russia	stress	21	78	1	2022
Saudi Arabia	Saudi Arabia	stress	25	75	0	2022
Senegal	Senegal	stress	49	51	0	2022
Serbia	Serbia	stress	32	66	2	2022
Sierra Leone	Sierra Leone	stress	61	39	0	2022
Singapore	Singapore	stress	40	60	0	2022
Slovakia	Slovakia	stress	38	62	1	2022
Slovenia	Slovenia	stress	34	66	0	2022
South Africa	South Africa	stress	33	67	0	2022
South Korea	South Korea	stress	38	62	0	2022
Spain	Spain	stress	31	69	0	2022
Sri Lanka	Sri Lanka	stress	56	44	0	2022
Sweden	Sweden	stress	32	68	0	2022
Switzerland	Switzerland	stress	26	74	0	2022
Taiwan, Republic of China	Taiwan	stress	27	73	0	2022
Tajikistan	Tajikistan	stress	24	76	0	2022
Tanzania	Tanzania	stress	26	73	0	2022
Thailand	Thailand	stress	26	73	0	2022
Togo	Togo	stress	39	57	4	2022
Tunisia	Tunisia	stress	41	59	0	2022
Türkiye	Turkey	stress	60	39	1	2022
Uganda	Uganda	stress	56	44	0	2022
Ukraine	Ukraine	stress	31	68	0	2022
United Arab Emirates	United Arab Emirates	stress	29	71	0	2022
United Kingdom of Great Britain and Northern Ireland	UK	stress	32	67	0	2022
United States of America	USA	stress	53	47	0	2022
Uruguay	Uruguay	stress	41	59	0	2022
Uzbekistan	Uzbekistan	stress	13	87	0	2022
Venezuela	Venezuela	stress	42	58	0	2022
Vietnam	Vietnam	stress	15	85	0	2022
Yemen	Yemen	stress	28	71	1	2022
Zambia	Zambia	stress	37	63	0	2022
Zimbabwe	Zimbabwe	stress	28	72	0	2022
Afghanistan	Afghanistan	worried	75	24	0	2022
Albania	Albania	worried	35	65	0	2022
Algeria	Algeria	worried	35	65	0	2022
Argentina	Argentina	worried	46	54	0	2022
Armenia	Armenia	worried	62	38	0	2022
Australia	Australia	worried	36	64	0	2022
Austria	Austria	worried	29	71	0	2022
Azerbaijan	Azerbaijan	worried	47	51	2	2022
Bangladesh	Bangladesh	worried	60	40	0	2022
Belgium	Belgium	worried	41	58	1	2022
Benin	Benin	worried	60	40	0	2022
Bolivia	Bolivia	worried	59	41	0	2022
Bosnia and Herzegovina	Bosnia and Herzegovina	worried	44	55	0	2022
Botswana	Botswana	worried	38	62	0	2022
Brazil	Brazil	worried	57	43	0	2022
Bulgaria	Bulgaria	worried	24	74	2	2022
Cambodia	Cambodia	worried	52	48	0	2022
Cameroon	Cameroon	worried	51	47	2	2022
Canada	Canada	worried	44	56	0	2022
Chad	Chad	worried	59	40	2	2022
Chile	Chile	worried	40	59	0	2022
Colombia	Colombia	worried	47	53	0	2022
Comoros	Comoros	worried	46	54	1	2022
Costa Rica	Costa Rica	worried	41	59	0	2022
Cote d'Ivoire	Cote d'Ivoire	worried	54	46	0	2022
Croatia	Croatia	worried	54	45	1	2022
Cyprus	Cyprus	worried	46	54	0	2022
Czech Republic	Czech Republic	worried	35	65	0	2022
Democratic Republic of the Congo	Democratic Republic of the Congo	worried	59	41	0	2022
Denmark	Denmark	worried	34	66	0	2022
Dominican Republic	Dominican Republic	worried	48	51	1	2022
Ecuador	Ecuador	worried	53	46	0	2022
Egypt	Egypt	worried	40	60	0	2022
El Salvador	El Salvador	worried	43	56	1	2022
Estonia	Estonia	worried	29	70	1	2022
Eswatini	Eswatini	worried	51	49	0	2022
Ethiopia	Ethiopia	worried	39	60	0	2022
Finland	Finland	worried	37	63	0	2022
France	France	worried	34	66	0	2022
Gabon	Gabon	worried	52	47	0	2022
Gambia	Gambia	worried	55	45	0	2022
Georgia	Georgia	worried	28	71	1	2022
Germany	Germany	worried	29	70	1	2022
Ghana	Ghana	worried	39	61	0	2022
Greece	Greece	worried	31	68	0	2022
Guatemala	Guatemala	worried	39	61	0	2022
Guinea	Guinea	worried	64	35	0	2022
Honduras	Honduras	worried	41	59	0	2022
Hong Kong, S.A.R. of China	Hong Kong	worried	34	65	0	2022
Hungary	Hungary	worried	34	66	0	2022
Iceland	Iceland	worried	29	71	0	2022
India	India	worried	51	49	0	2022
Indonesia	Indonesia	worried	37	63	0	2022
Iran	Iran	worried	59	41	0	2022
Iraq	Iraq	worried	59	41	0	2022
Ireland	Ireland	worried	32	68	0	2022
Israel	Israel	worried	30	70	0	2022
Italy	Italy	worried	49	51	0	2022
Jamaica	Jamaica	worried	33	66	1	2022
Japan	Japan	worried	27	73	1	2022
Jordan	Jordan	worried	50	50	0	2022
Kazakhstan	Kazakhstan	worried	16	83	1	2022
Kenya	Kenya	worried	34	66	0	2022
Kosovo	Kosovo	worried	21	79	0	2022
Kuwait	Kuwait	worried	23	77	0	2022
Kyrgyzstan	Kyrgyzstan	worried	23	77	0	2022
Lao People's Democratic Republic	Laos	worried	36	62	1	2022
Latvia	Latvia	worried	24	76	0	2022
Lebanon	Lebanon	worried	55	45	0	2022
Lesotho	Lesotho	worried	40	59	1	2022
Liberia	Liberia	worried	57	43	0	2022
Libya	Libya	worried	48	52	0	2022
Lithuania	Lithuania	worried	14	81	5	2022
Luxembourg	Luxembourg	worried	33	67	0	2022
Madagascar	Madagascar	worried	42	57	0	2022
Malawi	Malawi	worried	40	60	0	2022
Malaysia	Malaysia	worried	25	74	1	2022
Mali	Mali	worried	61	39	0	2022
Malta	Malta	worried	61	39	0	2022
Mauritania	Mauritania	worried	46	53	1	2022
Mauritius	Mauritius	worried	22	77	1	2022
Mexico	Mexico	worried	33	67	0	2022
Moldova, Republic of	Moldova	worried	40	59	1	2022
Mongolia	Mongolia	worried	32	67	0	2022
Montenegro	Montenegro	worried	46	54	0	2022
Morocco	Morocco	worried	48	51	0	2022
Mozambique	Mozambique	worried	54	46	0	2022
Myanmar	Myanmar	worried	45	55	0	2022
Namibia	Namibia	worried	37	63	0	2022
Nepal	Nepal	worried	46	54	0	2022
Netherlands	Netherlands	worried	35	65	0	2022
New Zealand	New Zealand	worried	32	68	0	2022
Nicaragua	Nicaragua	worried	47	52	0	2022
Niger	Niger	worried	47	51	2	2022
Nigeria	Nigeria	worried	37	63	0	2022
North Macedonia	North Macedonia	worried	38	60	1	2022
Northern Cyprus	Northern Cyprus	worried	46	53	1	2022
Norway	Norway	worried	35	65	0	2022
Pakistan	Pakistan	worried	41	59	0	2022
Palestinian Territories	Palestine	worried	48	52	0	2022
Panama	Panama	worried	39	61	0	2022
Paraguay	Paraguay	worried	42	58	0	2022
Peru	Peru	worried	56	44	0	2022
Philippines	Philippines	worried	32	68	1	2022
Poland	Poland	worried	23	76	1	2022
Portugal	Portugal	worried	54	46	0	2022
Puerto Rico	Puerto Rico	worried	42	58	0	2022
Republic of the Congo	Republic of the Congo	worried	59	40	1	2022
Romania	Romania	worried	36	63	1	2022
Russian Federation	Russia	worried	27	72	1	2022
Saudi Arabia	Saudi Arabia	worried	23	77	0	2022
Senegal	Senegal	worried	41	58	1	2022
Serbia	Serbia	worried	45	54	1	2022
Sierra Leone	Sierra Leone	worried	69	31	0	2022
Singapore	Singapore	worried	31	69	0	2022
Slovakia	Slovakia	worried	38	61	1	2022
Slovenia	Slovenia	worried	46	54	0	2022
South Africa	South Africa	worried	31	69	0	2022
South Korea	South Korea	worried	36	64	0	2022
Spain	Spain	worried	50	50	0	2022
Sri Lanka	Sri Lanka	worried	32	68	0	2022
Sweden	Sweden	worried	26	74	0	2022
Switzerland	Switzerland	worried	23	77	0	2022
Taiwan, Republic of China	Taiwan	worried	16	84	0	2022
Tajikistan	Tajikistan	worried	25	75	0	2022
Tanzania	Tanzania	worried	22	78	0	2022
Thailand	Thailand	worried	37	63	1	2022
Togo	Togo	worried	57	43	0	2022
Tunisia	Tunisia	worried	44	56	0	2022
Türkiye	Turkey	worried	44	56	0	2022
Uganda	Uganda	worried	50	50	0	2022
Ukraine	Ukraine	worried	52	48	0	2022
United Arab Emirates	United Arab Emirates	worried	26	74	0	2022
United Kingdom of Great Britain and Northern Ireland	UK	worried	33	67	0	2022
United States of America	USA	worried	40	60	0	2022
Uruguay	Uruguay	worried	44	56	0	2022
Uzbekistan	Uzbekistan	worried	22	77	0	2022
Venezuela	Venezuela	worried	47	53	0	2022
Vietnam	Vietnam	worried	17	83	0	2022
Yemen	Yemen	worried	37	63	0	2022
Zambia	Zambia	worried	42	57	0	2022
Zimbabwe	Zimbabwe	worried	29	71	0	2022
Afghanistan	Afghanistan	pain	49	51	0	2022
Albania	Albania	pain	43	56	0	2022
Algeria	Algeria	pain	34	65	1	2022
Argentina	Argentina	pain	38	62	0	2022
Armenia	Armenia	pain	39	61	0	2022
Australia	Australia	pain	28	72	0	2022
Austria	Austria	pain	23	77	0	2022
Azerbaijan	Azerbaijan	pain	43	56	1	2022
Bangladesh	Bangladesh	pain	47	53	0	2022
Belgium	Belgium	pain	34	66	0	2022
Benin	Benin	pain	58	42	0	2022
Bolivia	Bolivia	pain	39	61	0	2022
Bosnia and Herzegovina	Bosnia and Herzegovina	pain	30	70	0	2022
Botswana	Botswana	pain	43	57	0	2022
Brazil	Brazil	pain	42	58	0	2022
