country	country_short	country_code	area	year	anger_yes	anger_unsure	sad_yes	sad_unsure	stressed_yes	stressed_unsure	worried_yes	worried_unsure	pain_yes	pain_unsure	enjoyment_yes	enjoyment_unsure	rested_yes	rested_unsure	learned_yes	learned_unsure	smiled_yes	smiled_unsure	respected_yes	respected_unsure
Jamaica	Jamaica	JAM	Americas	2022	20	0	27	0	31	1	33	1	27	0	69	1	64	0	67	0	78	1	91	1
Japan	Japan	JPN	Asia-Pacific	2022	13	0	10	0	38	0	27	1	19	0	67	1	80	0	55	1	77	1	67	4
Jordan	Jordan	JOR	Middle East and North Africa	2022	43	0	37	0	50	0	50	0	51	0	53	0	49	0	39	0	64	0	90	0
Kazakhstan	Kazakhstan	KAZ	Asia-Pacific	2022	10	2	13	2	13	3	16	1	24	1	70	4	73	2	49	3	64	8	89	4
Kenya	Kenya	KEN	Sub-Saharan Africa	2022	25	0	26	0	33	0	34	0	36	0	72	0	70	0	68	0	77	0	78	0
Kosovo	Kosovo	KOS	Europe	2022	15	1	7	1	32	1	21	0	27	0	67	1	65	1	26	1	69	2	94	1
Kuwait	Kuwait	KWT	Middle East and North Africa	2022	12	0	12	0	21	0	23	0	26	0	79	0	89	0	59	0	81	1	95	0
Kyrgyzstan	Kyrgyzstan	KGZ	Asia-Pacific	2022	23	1	15	0	11	0	23	0	19	0	76	1	77	1	34	2	82	1	89	2
Lao People's Democratic Republic	Laos	LAO	Asia-Pacific	2022	32	0	31	1	29	2	36	1	40	0	78	0	73	0	39	2	85	0	66	5
Latvia	Latvia	LVA	Europe	2022	10	0	14	0	17	0	24	0	20	0	72	2	61	1	50	1	63	2	92	2
Lebanon	Lebanon	LBN	Middle East and North Africa	2022	35	0	39	0	65	0	55	0	44	0	33	1	51	0	20	0	35	1	91	0
Lesotho	Lesotho	LSO	Sub-Saharan Africa	2022	22	0	24	0	35	1	40	1	39	0	69	0	57	0	67	0	76	0	78	1
Liberia	Liberia	LBR	Sub-Saharan Africa	2022	25	0	49	0	58	0	57	0	55	0	46	0	60	0	69	0	76	0	82	0
Libya	Libya	LBY	Middle East and North Africa	2022	39	0	33	0	48	0	48	0	48	0	67	0	65	1	51	0	69	1	92	0
Lithuania	Lithuania	LTU	Europe	2022	9	4	14	4	19	5	14	5	17	2	50	8	67	5	34	11	45	9	77	13
Luxembourg	Luxembourg	LUX	Europe	2022	17	0	15	0	42	2	33	0	33	0	80	0	69	0	62	0	73	1	93	0
Madagascar	Madagascar	MDG	Sub-Saharan Africa	2022	26	0	35	0	49	0	42	0	45	0	62	1	65	1	63	1	79	1	83	1
Malawi	Malawi	MWI	Sub-Saharan Africa	2022	19	0	40	0	31	0	40	0	39	0	51	0	73	0	47	0	62	0	75	0
Malaysia	Malaysia	MSY	Asia-Pacific	2022	15	1	17	1	19	1	25	1	24	0	86	2	93	0	53	3	85	1	95	1
Mali	Mali	MLI	Sub-Saharan Africa	2022	31	0	30	0	32	0	61	0	37	0	77	0	69	0	45	0	75	0	85	0
Malta	Malta	MLT	Europe	2022	24	0	25	1	52	0	61	0	31	0	65	0	73	1	56	1	79	1	93	1
Mauritania	Mauritania	MRT	Middle East and North Africa	2022	36	0	33	1	35	1	46	1	55	1	59	1	62	0	59	1	69	1	83	1
Mauritius	Mauritius	MUS	Asia-Pacific	2022	10	0	18	0	26	0	22	1	33	1	71	1	72	1	60	2	81	3	93	1
Mexico	Mexico	MEX	Americas	2022	9	0	19	0	39	0	33	0	27	0	87	1	82	0	70	0	87	0	96	0
Moldova, Republic of	Moldova	MDA	Europe	2022	13	2	30	1	25	1	40	1	44	1	60	1	59	1	52	0	51	2	87	2
Mongolia	Mongolia	MNG	Asia-Pacific	2022	13	0	17	0	14	0	32	0	23	0	72	0	86	0	26	0	66	1	86	1
Montenegro	Montenegro	MNE	Europe	2022	28	0	22	0	27	0	46	0	36	0	56	1	56	1	40	2	47	3	89	1
Morocco	Morocco	MAR	Middle East and North Africa	2022	41	0	35	0	44	0	48	0	47	0	49	5	63	0	49	1	70	1	86	4
Mozambique	Mozambique	MOZ	Sub-Saharan Africa	2022	17	3	35	0	26	1	54	0	40	0	49	7	76	0	59	2	75	1	87	0
Myanmar	Myanmar	MMR	Asia-Pacific	2022	32	0	29	0	45	0	45	0	42	0	74	0	65	0	46	0	80	0	78	2
Namibia	Namibia	NAM	Sub-Saharan Africa	2022	20	0	22	1	35	0	37	0	23	1	60	1	71	1	57	0	85	0	82	2
Nepal	Nepal	NPL	Asia-Pacific	2022	25	0	32	2	33	1	46	0	38	1	65	0	73	0	28	1	49	1	72	1
Netherlands	Netherlands	NLD	Europe	2022	9	0	15	0	28	0	35	0	24	0	85	0	67	0	49	0	79	1	95	0
New Zealand	New Zealand	NZL	Asia-Pacific	2022	10	0	21	0	37	0	32	0	23	0	77	0	67	0	62	0	73	0	95	0
Nicaragua	Nicaragua	NIC	Americas	2022	19	0	35	0	46	1	47	0	39	0	80	0	77	1	69	1	85	1	96	0
Niger	Niger	NER	Sub-Saharan Africa	2022	26	2	36	2	41	3	47	2	51	1	76	2	63	2	72	2	85	1	79	4
Nigeria	Nigeria	NGA	Sub-Saharan Africa	2022	20	0	19	1	49	0	37	0	32	1	63	0	75	0	76	1	87	1	88	0
North Macedonia	North Macedonia	MKD	Europe	2022	22	1	22	2	33	1	38	1	35	1	64	1	60	1	40	2	60	2	89	2
Northern Cyprus	Northern Cyprus	NoCY	Europe	2022	52	1	44	1	64	1	46	1	27	1	50	1	56	0	24	1	44	3	83	1
Norway	Norway	NOR	Europe	2022	8	1	21	0	36	0	35	0	25	0	84	0	63	0	67	0	77	0	95	0
Pakistan	Pakistan	PAK	Asia-Pacific	2022	37	0	32	0	28	1	41	0	48	0	54	0	58	0	25	0	61	1	91	0
Palestinian Territories	Palestine	PSE	Middle East and North Africa	2022	34	0	27	0	47	0	48	0	47	0	62	1	60	0	45	1	66	1	93	0
Panama	Panama	PAN	Americas	2022	12	0	26	1	37	0	39	0	28	0	83	1	81	0	73	0	88	1	96	0
Paraguay	Paraguay	PRY	Americas	2022	12	0	17	0	34	2	42	0	33	0	89	0	86	0	70	2	85	1	98	0
Peru	Peru	PER	Americas	2022	23	0	35	0	53	0	56	0	39	0	76	1	69	1	69	0	79	1	95	0
Philippines	Philippines	PHL	Asia-Pacific	2022	28	0	30	0	48	1	32	1	20	0	84	0	77	0	75	1	90	0	97	0
Poland	Poland	POL	Europe	2022	10	3	11	2	19	1	23	1	12	0	72	3	67	1	33	2	65	6	92	2
Portugal	Portugal	PRT	Europe	2022	11	0	30	0	42	0	54	0	41	0	63	0	75	0	52	1	75	1	97	0
Puerto Rico	Puerto Rico	PRI	Americas	2022	11	0	26	0	42	0	42	0	43	0	84	1	71	1	63	0	85	1	97	1
Republic of the Congo	Republic of the Congo	COG	Sub-Saharan Africa	2022	36	1	48	0	41	2	59	1	47	0	55	2	70	0	52	2	65	2	77	1
Romania	Romania	ROU	Europe	2022	17	0	24	0	35	1	36	1	35	0	74	1	64	0	40	2	68	1	90	2
Russian Federation	Russia	RUS	Europe	2022	14	0	22	1	21	1	27	1	26	0	69	3	65	1	47	2	61	5	88	5
Saudi Arabia	Saudi Arabia	SAU	Middle East and North Africa	2022	20	0	19	0	25	0	23	0	25	0	69	1	85	0	58	1	74	1	92	0
Senegal	Senegal	SEN	Sub-Saharan Africa	2022	20	0	24	1	49	0	41	1	52	0	77	1	69	0	77	2	88	0	91	1
Serbia	Serbia	SRB	Europe	2022	18	1	19	2	32	2	45	1	31	1	59	3	55	2	43	3	48	4	83	6
Sierra Leone	Sierra Leone	SLE	Sub-Saharan Africa	2022	37	1	44	1	61	0	69	0	77	0	32	1	55	0	50	1	64	1	70	1
Singapore	Singapore	SGP	Asia-Pacific	2022	15	0	16	0	40	0	31	0	21	0	75	1	77	1	54	0	74	1	89	2
Slovakia	Slovakia	SVK	Europe	2022	24	0	17	1	38	1	38	1	26	0	78	2	72	0	48	2	68	3	92	2
Slovenia	Slovenia	SVN	Europe	2022	14	1	12	0	34	0	46	0	23	0	62	2	74	1	52	1	71	1	95	1
South Africa	South Africa	ZAF	Sub-Saharan Africa	2022	16	1	24	0	33	0	31	0	25	0	79	0	78	0	59	1	83	1	87	1
South Korea	South Korea	KOR	Asia-Pacific	2022	18	0	17	0	38	0	36	0	27	0	64	1	76	0	41	0	69	1	70	3
Spain	Spain	ESP	Europe	2022	19	0	27	0	31	0	50	0	29	0	57	2	73	0	59	0	72	1	93	0
Sri Lanka	Sri Lanka	LKA	Asia-Pacific	2022	30	0	34	0	56	0	32	0	42	0	67	0	60	0	64	0	83	0	88	1
Sweden	Sweden	SWE	Europe	2022	9	0	14	2	32	0	26	0	17	0	79	0	63	0	67	0	80	0	95	0
Switzerland	Switzerland	CHE	Europe	2022	13	0	18	0	26	0	23	0	27	0	79	0	74	0	64	0	70	0	86	0
Taiwan, Republic of China	Taiwan	TWN	Asia-Pacific	2022	9	0	4	0	27	0	16	0	14	0	83	1	81	0	49	0	80	1	90	2
Tajikistan	Tajikistan	TJK	Asia-Pacific	2022	21	0	20	0	24	0	25	0	30	0	74	2	86	1	54	2	79	4	92	1
Tanzania	Tanzania	TZA	Sub-Saharan Africa	2022	15	0	22	0	26	0	22	0	39	0	68	0	73	0	65	1	78	0	83	1
Thailand	Thailand	THA	Asia-Pacific	2022	13	0	15	0	26	0	37	1	39	0	80	1	79	0	67	1	83	1	87	2
Togo	Togo	TGO	Sub-Saharan Africa	2022	33	1	35	1	39	4	57	0	51	0	52	2	59	0	53	3	70	1	72	2
Tunisia	Tunisia	TUN	Middle East and North Africa	2022	31	0	16	0	41	0	44	0	43	0	45	1	59	0	26	0	66	1	88	0
Türkiye	Turkey	TUR	Middle East and North Africa	2022	39	1	34	0	60	1	44	0	22	0	34	2	56	1	16	1	41	2	80	1
Uganda	Uganda	UGA	Sub-Saharan Africa	2022	41	0	41	0	56	0	50	0	48	0	61	0	68	0	70	0	81	1	76	0
Ukraine	Ukraine	UKR	Europe	2022	24	1	41	0	31	0	52	0	34	1	57	1	47	1	46	1	54	1	91	3
United Arab Emirates	United Arab Emirates	ARE	Middle East and North Africa	2022	23	0	24	0	29	0	26	0	26	0	75	0	81	0	62	0	77	0	87	0
United Kingdom of Great Britain and Northern Ireland	UK	GBR	Europe	2022	21	0	27	0	32	0	33	0	28	0	83	0	71	0	61	0	72	0	88	0
United States of America	USA	USA	Americas	2022	16	0	24	0	53	0	40	0	30	0	78	0	66	0	59	0	76	0	90	0
Uruguay	Uruguay	URY	Americas	2022	11	0	25	0	41	0	44	0	37	0	86	1	74	0	57	1	86	1	96	0
Uzbekistan	Uzbekistan	UZB	Asia-Pacific	2022	27	0	18	1	13	0	22	0	30	0	86	1	84	1	58	1	75	2	97	1
Venezuela	Venezuela	VEN	Americas	2022	14	0	26	0	42	0	47	0	33	0	75	0	76	0	67	0	83	1	96	0
Vietnam	Vietnam	VNM	Asia-Pacific	2022	7	0	9	0	15	0	17	0	8	0	79	0	94	0	58	0	95	0	98	0
Yemen	Yemen	YEM	Middle East and North Africa	2022	22	1	18	0	28	1	37	0	37	0	51	1	58	0	29	1	55	2	86	0
Zambia	Zambia	ZMB	Sub-Saharan Africa	2022	21	0	29	0	37	0	42	0	39	0	67	0	70	0	50	1	81	0	89	0
Zimbabwe	Zimbabwe	ZWE	Sub-Saharan Africa	2022	10	0	19	0	28	0	29	0	31	0	59	0	67	0	53	0	80	0	82	0
