number	organism name	kingdom	phylum	class	file	accession number	sequences	base pair	DIV	submitted	updated	BioProject	BioSample	SRA
20	Agrotis ipsilon	Metazoa	Arthropoda	Insecta	GAAU.gz	GAAU01000001-GAAU01000021	21	29706	TSA	2012-10-04	2012-10-31	PRJNA175739		SRR576102
21	Nemurella pictetii	Metazoa	Arthropoda	Insecta	GAAV.gz	GAAV01000001-GAAV01018008	18008	6706874	TSA	2012-10-04	2012-11-26	PRJNA172454	SAMN01737290	SRR578779
22	Humulus lupulus	Viridiplantae	Streptophyta	None	GAAW.gz	GAAW01000001-GAAW01174938	174938	130455837	TSA	2012-10-03	2012-11-20	PRJNA175602	SAMN01180278	SRR575189
23	Forficula auricularia	Metazoa	Arthropoda	Insecta	GAAX.gz	GAAX01000001-GAAX01026314	26314	9487936	TSA	2012-10-04	2012-11-26	PRJNA172453	SAMN01737291	SRR578778
24	Lonicera japonica	Viridiplantae	Streptophyta	None	GAAY.gz	GAAY01000001-GAAY01018860	18860	19247213	TSA	2012-09-29	2013-05-10	PRJNA176093		SRR576924
25	Crotalus horridus	Metazoa	Chordata	None	GAAZ.gz	GAAZ01000001-GAAZ01003091	3091	7013788	TSA	2012-10-10	2013-07-08	PRJNA88989	SAMN01179614	SRR575168
26	Zorotypus gurneyi	Metazoa	Arthropoda	Insecta	GABA.gz	GABA01000001-GABA01010639	10639	7252156	TSA	2012-10-10	2012-11-26	PRJNA172455	SAMN01737292	SRR578780
27	Archaeopsylla erinacei	Metazoa	Arthropoda	Insecta	GABB.gz	GABB01000001-GABB01035270	35270	22429870	TSA	2012-10-11	2014-06-12	PRJNA181025	SAMN01737642	
28	Pan troglodytes	Metazoa	Chordata	Mammalia	GABC.gz	GABC01000001-GABC01029054	29054	55417641	TSA	2012-10-15	2012-10-31	PRJNA173089		SRR544868
29	Pan troglodytes	Metazoa	Chordata	Mammalia	GABD.gz	GABD01000001-GABD01029686	29686	56286855	TSA	2012-10-15	2012-10-31	PRJNA173089		SRR544870
30	Pan troglodytes	Metazoa	Chordata	Mammalia	GABE.gz	GABE01000001-GABE01030945	30945	64277642	TSA	2012-10-15	2012-10-31	PRJNA173089		SRR544874
31	Pan troglodytes	Metazoa	Chordata	Mammalia	GABF.gz	GABF01000001-GABF01029310	29310	54004654	TSA	2012-10-15	2012-10-31	PRJNA173089		SRR545055
32	Ipomoea purpurea	Viridiplantae	Streptophyta	None	GABG.gz	GABG01000001-GABG01061933	61933	58964163	TSA	2012-10-17	2013-09-26	PRJNA175931	SAMN01729313	SRR576640
33	Musa ABB Group	Viridiplantae	Streptophyta	Liliopsida	GABH.gz	GABH01000001-GABH01038183	38183	51869800	TSA	2012-10-17	2012-11-13	PRJNA169175	SAMN01057529	SRR516083
34	Puccinellia tenuiflora	Viridiplantae	Streptophyta	Liliopsida	GABI.gz	GABI01000001-GABI01001196	1196	701264	TSA	2012-10-19	2012-10-31	PRJNA176609		
35	Caragana korshinskii	Viridiplantae	Streptophyta	None	GABJ.gz	GABJ01000001-GABJ01045305	45305	13930479	TSA	2012-10-18	2013-10-18	PRJNA173197	SAMN01166070	SRR575666
36	Sialis lutaria	Metazoa	Arthropoda	Insecta	GABK.gz	GABK01000001-GABK01014200	14200	7235553	TSA	2012-10-19	2014-06-12	PRJNA181034	SAMN01766809	SRR596160
37	Camelina sativa	Viridiplantae	Streptophyta	None	GABL.gz	GABL01000001-GABL01103047	103047	71866018	TSA	2013-02-13	2013-03-12	PRJNA172411		SRR536355
38	Sus scrofa	Metazoa	Chordata	Mammalia	GABM.gz	GABM01000001-GABM01000002	2	3232	TSA	2012-10-23	2012-11-15	PRJNA80971		SRR513213
39	Sus scrofa	Metazoa	Chordata	Mammalia	GABN.gz	GABN01000001-GABN01000002	2	3973	TSA	2012-09-12	2013-03-04	PRJNA80971		SRR513337
40	Camelina sativa	Viridiplantae	Streptophyta	None	GABO.gz	GABO01000001-GABO01054141	54141	21397566	TSA	2012-10-25	2013-03-12	PRJNA172411		SRR653458
41	Lingulodinium polyedrum	None	None	None	GABP.gz	GABP01000001-GABP01114492	114492	109958213	TSA	2012-10-26	2013-11-05	PRJNA69549		SRR584359
42	Olea europaea	Viridiplantae	Streptophyta	None	GABQ.gz	GABQ01000001-GABQ01081020	81020	38006553	TSA	2012-10-28	2013-03-15	PRJNA177329	SAMN01761013	SRR592583
43	Kryptoperidinium foliaceum	None	None	Dinophyceae	GABR.gz	GABR01000001-GABR01000606	606	348412	TSA	2012-10-24	2014-04-08	PRJNA178060	SAMN01774244	SRR605651
44	Musca domestica	Metazoa	Arthropoda	Insecta	GABS.gz	GABS01000001-GABS01000322	322	167761	TSA	2012-10-24	2012-11-13	PRJNA178154		
45	Cocos nucifera	Viridiplantae	Streptophyta	Liliopsida	GABT.gz	GABT01000001-GABT01057175	57175	42994243	TSA	2012-11-01	2013-05-10	PRJNA177505		SRR606452
46	Chilodonella uncinata	None	None	Phyllopharyngea	GABU.gz	GABU01000001-GABU01009423	9423	4822207	TSA	2012-11-02	2013-02-05	PRJNA161607		SRR610558
47	Corallomyxa tenera	None	None	None	GABV.gz	GABV01000001-GABV01015302	15302	8674136	TSA	2012-11-02	2013-02-05	PRJNA161605	SAMN01797789	SRR610560
48	Subulatomonas tetraspora	None	None	None	GABW.gz	GABW01000001-GABW01005131	5131	2033582	TSA	2012-11-02	2013-02-05	PRJNA161609	SAMN01797788	SRR610559
49	Dendroctonus ponderosae	Metazoa	Arthropoda	Insecta	GABX.gz	GABX01000001-GABX01000059	59	55714	TSA	2012-11-02	2013-03-06	PRJNA178770	SAMN00847512	SRR449538
50	Anthonomus grandis	Metazoa	Arthropoda	Insecta	GABY.gz	GABY01000001-GABY01020375	20375	13701708	TSA	2012-11-05	2013-12-02	PRJNA177772	SAMN01797896	SRR610743
51	Desmodus rotundus	Metazoa	Chordata	Mammalia	GABZ.gz	GABZ01000001-GABZ01008786	8786	15326214	TSA	2012-11-05	2012-11-15	PRJNA178123		SRR606899
52	Pohlia nutans	Viridiplantae	Streptophyta	Bryopsida	GACA.gz	GACA01000001-GACA01043198	43198	30692533	TSA	2012-11-05	2012-11-15	PRJNA158385	SAMN00858029	SRR491184
53	Lotus corniculatus	Viridiplantae	Streptophyta	None	GACB.gz	GACB01000001-GACB01045563	45563	29702713	TSA	2012-11-04	2013-06-10	PRJNA77207	SAMN00759026	SRR364671
54	Sus scrofa	Metazoa	Chordata	Mammalia	GACC.gz	GACC01000001-GACC01000527	527	1941979	TSA	2012-10-23	2013-01-04	PRJNA80971		SRR513212
55	Catharanthus roseus	Viridiplantae	Streptophyta	None	GACD.gz	GACD01000001-GACD01086107	86107	106759146	TSA	2012-11-06	2012-12-04	PRJNA174442	SAMN1798283	SRR098691
56	Rauvolfia serpentina	Viridiplantae	Streptophyta	None	GACE.gz	GACE01000001-GACE01099504	99504	112892199	TSA	2012-11-06	2012-12-04	PRJNA176963	SAMN1798285	SRR125759
57	Camptotheca acuminata	Viridiplantae	Streptophyta	None	GACF.gz	GACF01000001-GACF01120298	120298	137311181	TSA	2012-11-08	2012-12-05	PRJNA174448	SAMN1798284	SRR173032
58	Picea sitchensis	Viridiplantae	Streptophyta	None	GACG.gz	GACG01000001-GACG01009392	9392	8514936	TSA	2012-11-08	2012-12-04	PRJNA178599		
59	Chromolaena odorata	Viridiplantae	Streptophyta	None	GACH.gz	GACH01000001-GACH01139002	139002	71655603	TSA	2012-11-09	2012-12-05	PRJNA174992	SAMN01166069	SRR567584
60	Uromyces appendiculatus	Fungi	Basidiomycota	Pucciniomycetes	GACI.gz	GACI01000001-GACI01007477	7477	7649097	TSA	2012-11-13	2013-02-26	PRJNA178090	SAMN01778687	SRR609082
61	Diaphorina citri	Metazoa	Arthropoda	Insecta	GACJ.gz	GACJ01000001-GACJ01027821	27821	54868393	TSA	2012-11-01	2012-11-15	PRJNA176468	SAMN01773420	SRR602249
62	Rhipicephalus pulchellus	Metazoa	Arthropoda	Arachnida	GACK.gz	GACK01000001-GACK01011227	11227	16933801	TSA	2012-11-16	2012-12-04	PRJNA170743		SRR521835
63	Brachionus calyciflorus	Metazoa	Rotifera	Monogononta	GACL.gz	GACL01000001-GACL01029418	29418	20817550	TSA	2012-11-21	2013-07-08	PRJNA176859		SRR611719
64	Phakopsora pachyrhizi Thai1	Fungi	Basidiomycota	Pucciniomycetes	GACM.gz	GACM01000001-GACM01004078	4078	2592423	TSA	2012-11-20	2013-02-25	PRJNA178092	SAMN01778688	SRR609193
65	Gerbera hybrid cultivar	Viridiplantae	Streptophyta	None	GACN.gz	GACN01000001-GACN01046881	46881	39745378	TSA	2012-11-28	2013-03-13	PRJNA179026	SAMN01801655	SRR611397
66	Priacma serrata	Metazoa	Arthropoda	Insecta	GACO.gz	GACO01000001-GACO01018752	18752	9520930	TSA	2012-11-28	2014-06-27	PRJNA181032	SAMN01766807	SRR596769
67	Micropterix calthella	Metazoa	Arthropoda	Insecta	GACP.gz	GACP01000001-GACP01137048	137048	61161984	TSA	2012-11-28	2014-06-27	PRJNA181028	SAMN01737643	SRR596161
68	Brachionus calyciflorus	Metazoa	Rotifera	Monogononta	GACQ.gz	GACQ01000001-GACQ01033088	33088	21417057	TSA	2012-11-21	2013-07-08	PRJNA177397		SRR620051
69	Ips typographus	Metazoa	Arthropoda	Insecta	GACR.gz	GACR01000001-GACR01014689	14689	9323213	TSA	2012-11-27	2013-03-05	PRJNA178930		ERR169822
70	Oesophagostomum dentatum	Metazoa	Nematoda	Chromadorea	GACS.gz	GACS01000001-GACS01000012	12	17164	TSA	2012-11-21	2013-01-02	PRJNA80747		SRR393668
71	Anolis carolinensis	Metazoa	Chordata	None	GACT.gz	GACT010000001-GACT011560902	1560902	583776503	TSA	2013-02-11	2013-03-19	PRJNA170187		SRR519095
72	Nevrorthus apatelios	Metazoa	Arthropoda	Insecta	GACU.gz	GACU01000001-GACU01017645	17645	9092475	TSA	2012-12-05	2014-06-27	PRJNA181030	SAMN01774155	SRR620576
73	Philopotamus ludificatus	Metazoa	Arthropoda	Insecta	GACV.gz	GACV01000001-GACV01024590	24590	13992804	TSA	2012-12-05	2014-06-27	PRJNA181031	SAMN01774152	SRR621117
74	Carabus granulatus	Metazoa	Arthropoda	Insecta	GACW.gz	GACW01000001-GACW01055363	55363	36498460	TSA	2012-12-05	2014-06-27	PRJNA181026	SAMN01766557	SRR596983
75	Raphidia ariadne	Metazoa	Arthropoda	Insecta	GACX.gz	GACX01000001-GACX01029612	29612	16693364	TSA	2012-12-05	2014-06-27	PRJNA181033	SAMN01774154	SRR621115
76	Mengenilla moldrzyki	Metazoa	Arthropoda	Insecta	GACY.gz	GACY01000001-GACY01060618	60618	33558976	TSA	2012-12-05	2014-06-27	PRJNA181027	SAMN01766808	SRR619393
77	Tipula maxima	Metazoa	Arthropoda	Insecta	GACZ.gz	GACZ01000001-GACZ01024668	24668	14878814	TSA	2012-12-05	2014-06-27	PRJNA181035	SAMN01774151	SRR620757
78	Xyela alpigena	Metazoa	Arthropoda	Insecta	GADA.gz	GADA01000001-GADA01009812	9812	4805593	TSA	2012-12-05	2014-06-27	PRJNA181036	SAMN01774150	SRR621116
79	Nannochorista philpotti	Metazoa	Arthropoda	Insecta	GADB.gz	GADB01000001-GADB01044840	44840	27545341	TSA	2012-12-05	2014-06-27	PRJNA181029	SAMN01766986	SRR621341
80	Plukenetia volubilis	Viridiplantae	Streptophyta	None	GADC.gz	GADC01000001-GADC01066310	66310	43085194	TSA	2012-12-05	2013-01-04	PRJNA182191	SAMN01821237	SRR627546
81	Pyropia haitanensis	None	None	Bangiophyceae	GADD.gz	GADD01000001-GADD01024575	24575	15859328	TSA	2012-12-05	2014-01-02	PRJNA181961	SAMN01819047	SRR623025
82	Cherax quadricarinatus	Metazoa	Arthropoda	Malacostraca	GADE.gz	GADE01000001-GADE01017518	17518	9015889	TSA	2013-02-08	2013-06-14	PRJNA179334		SRR628250
83	Ziziphus jujuba	Viridiplantae	Streptophyta	None	GADF.gz	GADF01000001-GADF01000015	15	8029	TSA	2012-12-08	2012-12-19	PRJNA182366		
84	Placopecten magellanicus	Metazoa	Mollusca	Bivalvia	GADG.gz	GADG01000001-GADG01025687	25687	19950093	TSA	2012-12-08	2013-08-08	PRJNA182246	SAMN01819961	SRR627616
85	Corydalinae sp. KMRSPBM-2012	Metazoa	Arthropoda	Insecta	GADH.gz	GADH01000001-GADH01056979	56979	28939054	TSA	2012-12-07	2014-06-27	PRJNA181124	SAMN01774156	SRR621403
86	Ixodes ricinus	Metazoa	Arthropoda	Arachnida	GADI.gz	GADI01000001-GADI01008685	8685	5465358	TSA	2012-12-17	2013-01-17	PRJNA177622	SAMN01765647	SRR592662
87	Grapholita dimorpha	Metazoa	Arthropoda	Insecta	GADJ.gz	GADJ01000001-GADJ01002398	2398	2512423	TSA	2012-12-18	2014-01-02	PRJNA182494		SRR630958
88	Grapholita molesta	Metazoa	Arthropoda	Insecta	GADK.gz	GADK01000001-GADK01002872	2872	3179442	TSA	2012-12-18	2014-01-02	PRJNA182706		SRR630960
89	Carposina sasakii	Metazoa	Arthropoda	Insecta	GADL.gz	GADL01000001-GADL01001821	1821	1727189	TSA	2012-12-18	2014-01-02	PRJNA182707		SRR633610
90	Drosophila malerkotliana malerkotliana	Metazoa	Arthropoda	Insecta	GADM.gz	GADM01000001-GADM01009594	9594	5461915	TSA	2012-12-17	2014-01-02	PRJNA172931		SRR544887
91	Anolis carolinensis	Metazoa	Chordata	None	GADN.gz	GADN01000001-GADN01110227	110227	94685624	TSA	2012-11-30	2013-03-14	PRJNA170187		SRR492481
92	Anolis carolinensis	Metazoa	Chordata	None	GADO.gz	GADO01000001-GADO01153960	153960	148835973	TSA	2012-11-30	2013-03-15	PRJNA170187		SRR540256
93	Drosophila ercepeae	Metazoa	Arthropoda	Insecta	GADP.gz	GADP01000001-GADP01015456	15456	7396551	TSA	2012-12-19	2014-01-02	PRJNA172931		SRR544884
94	Drosophila malerkotliana pallens	Metazoa	Arthropoda	Insecta	GADQ.gz	GADQ01000001-GADQ01019161	19161	10265613	TSA	2012-12-19	2014-01-02	PRJNA172931		SRR544886
95	Drosophila pseudoananassae nigrens	Metazoa	Arthropoda	Insecta	GADR.gz	GADR01000001-GADR01029641	29641	12343847	TSA	2012-12-19	2014-01-02	PRJNA172931		SRR544889
96	Drosophila merina	Metazoa	Arthropoda	Insecta	GADS.gz	GADS01000001-GADS01019353	19353	9951217	TSA	2012-12-19	2014-01-02	PRJNA172931		SRR544885
97	Camelus dromedarius	Metazoa	Chordata	Mammalia	GADT.gz	GADT01000001-GADT01110326	110326	73941518	TSA	2012-12-12	2013-04-02	PRJNA82161	SAMN01093893	SRR527276
98	Camelus dromedarius	Metazoa	Chordata	Mammalia	GADU.gz	GADU01000001-GADU01079690	79690	54059250	TSA	2012-11-09	2013-04-02	PRJNA82161	SAMN01093893	SRR527277
99	Camelus dromedarius	Metazoa	Chordata	Mammalia	GADV.gz	GADV01000001-GADV01097397	97397	64005252	TSA	2012-12-19	2013-04-02	PRJNA82161	SAMN01093893	SRR527278
100	Camelus dromedarius	Metazoa	Chordata	Mammalia	GADW.gz	GADW01000001-GADW01046686	46686	35074932	TSA	2012-11-05	2013-04-02	PRJNA82161	SAMN01093893	SRR527279
101	Camelus dromedarius	Metazoa	Chordata	Mammalia	GADX.gz	GADX01000001-GADX01001141	1141	849739	TSA	2012-11-03	2013-04-02	PRJNA82161	SAMN01093893	SRR527280
102	Camelus dromedarius	Metazoa	Chordata	Mammalia	GADY.gz	GADY01000001-GADY01080667	80667	71874973	TSA	2012-11-05	2013-04-02	PRJNA82161	SAMN01093893	SRR527281
103	Camelus dromedarius	Metazoa	Chordata	Mammalia	GADZ.gz	GADZ01000001-GADZ01050822	50822	41818907	TSA	2012-12-18	2013-04-02	PRJNA82161	SAMN01093893	SRR527285
104	Camelus dromedarius	Metazoa	Chordata	Mammalia	GAEA.gz	GAEA01000001-GAEA01069539	69539	61569888	TSA	2012-11-03	2013-04-02	PRJNA82161	SAMN01093893	SRR527288
105	Camelus dromedarius	Metazoa	Chordata	Mammalia	GAEB.gz	GAEB01000001-GAEB01045346	45346	27053936	TSA	2012-11-05	2013-04-02	PRJNA82161	SAMN01093893	SRR527292
106	Anolis carolinensis	Metazoa	Chordata	None	GAEC.gz	GAEC01000001-GAEC01118836	118836	120574608	TSA	2012-11-30	2013-03-14	PRJNA170187		SRR449527
107	Anolis carolinensis	Metazoa	Chordata	None	GAED.gz	GAED01000001-GAED01074717	74717	72356141	TSA	2012-11-30	2013-03-14	PRJNA170187		SRR391650
108	Desmodus rotundus	Metazoa	Chordata	Mammalia	GAEE.gz	GAEE01000001-GAEE01000053	53	26346	TSA	2012-09-11	2013-01-17	PRJNA174817		SRR618711
109	Triticum aestivum	Viridiplantae	Streptophyta	Liliopsida	GAEF.gz	GAEF01000001-GAEF01134984	134984	66284740	TSA	2012-12-29	2013-04-10	PRJNA184381	SAMN01840337	SRR639194
110	Rana clamitans	Metazoa	Chordata	Amphibia	GAEG.gz	GAEG01000001-GAEG01050238	50238	32787840	TSA	2013-01-02	2013-02-14	PRJNA162931	SAMN00990760	SRR493664
111	Ruditapes philippinarum	Metazoa	Mollusca	Bivalvia	GAEH.gz	GAEH01000001-GAEH01006141	6141	5035444	TSA	2013-01-03	2014-01-03	PRJNA137531	SAMN00016465	SRR058508
112	Pseudacris regilla	Metazoa	Chordata	Amphibia	GAEI.gz	GAEI01000001-GAEI01048213	48213	31281165	TSA	2013-01-02	2013-02-14	PRJNA163143	SAMN00990868	SRR494107
113	Drosophila pseudoananassae pseudoananassae	Metazoa	Arthropoda	Insecta	GAEJ.gz	GAEJ01000001-GAEJ01032924	32924	13869744	TSA	2013-01-04	2014-01-02	PRJNA172931		SRR544888
114	Pseudotsuga menziesii var. menziesii	Viridiplantae	Streptophyta	None	GAEK.gz	GAEK01000001-GAEK01037177	37177	53420017	TSA	2013-01-04	2013-02-14	PRJNA163535	SAMN00849794	SRR065119
115	Mytilus galloprovincialis	Metazoa	Mollusca	Bivalvia	GAEM.gz	GAEM01000001-GAEM01014830	14830	8525529	TSA	2013-01-15	2013-05-21	PRJNA167773	SAMN01091700	SRR524847
116	Mytilus galloprovincialis	Metazoa	Mollusca	Bivalvia	GAEN.gz	GAEN01000001-GAEN01023462	23462	14612899	TSA	2013-01-11	2013-05-21	PRJNA167773	SAMN01091968	SRR525257
117	Pissodes strobi	Metazoa	Arthropoda	Insecta	GAEO.gz	GAEO01000001-GAEO01004939	4939	4501336	TSA	2013-01-15	2013-02-26	PRJNA186387		
118	Micrurus fulvius	Metazoa	Chordata	None	GAEP.gz	GAEP01000001-GAEP01002066	2066	3212997	TSA	2013-01-30	2013-08-30	PRJNA186685		SRR630454
119	Enallagma hageni	Metazoa	Arthropoda	Insecta	GAEQ.gz	GAEQ01000001-GAEQ01017860	17860	12793185	TSA	2013-01-16	2013-03-05	PRJNA185185	SAMN01881995	SRR649536
120	Arachis hypogaea	Viridiplantae	Streptophyta	None	GAER.gz	GAER01000001-GAER01059189	59189	44455414	TSA	2013-01-18	2013-07-08	PRJNA185732	SAMN01884225	SRR647076
121	Camelus bactrianus	Metazoa	Chordata	Mammalia	GAES.gz	GAES01000001-GAES01051013	51013	38902006	TSA	2013-01-04	2013-04-03	PRJNA62509	SAMN01093898	SRR527309
122	Camelus bactrianus	Metazoa	Chordata	Mammalia	GAET.gz	GAET01000001-GAET01030254	30254	18977323	TSA	2012-12-31	2013-04-03	PRJNA62509	SAMN01093898	SRR527310
123	Camelus bactrianus	Metazoa	Chordata	Mammalia	GAEU.gz	GAEU01000001-GAEU01037212	37212	27061819	TSA	2012-12-29	2013-04-03	PRJNA62509	SAMN01093898	SRR527311
124	Camelus bactrianus	Metazoa	Chordata	Mammalia	GAEV.gz	GAEV01000001-GAEV01035036	35036	25742583	TSA	2013-01-03	2013-04-03	PRJNA62509	SAMN01093898	SRR527312
125	Camelus bactrianus	Metazoa	Chordata	Mammalia	GAEW.gz	GAEW01000001-GAEW01016386	16386	8762008	TSA	2013-01-18	2013-04-03	PRJNA62509	SAMN01093898	SRR527313
126	Camelus bactrianus	Metazoa	Chordata	Mammalia	GAEX.gz	GAEX01000001-GAEX01041996	41996	31014947	TSA	2013-01-03	2013-04-03	PRJNA62509	SAMN01093898	SRR527314
127	Camelus bactrianus	Metazoa	Chordata	Mammalia	GAEY.gz	GAEY01000001-GAEY01019093	19093	10264930	TSA	2012-12-29	2013-04-03	PRJNA62509	SAMN01093898	SRR527315
128	Camelus bactrianus	Metazoa	Chordata	Mammalia	GAEZ.gz	GAEZ01000001-GAEZ01035320	35320	19043704	TSA	2012-12-29	2013-04-03	PRJNA62509	SAMN01093898	SRR527317
129	Camelus bactrianus	Metazoa	Chordata	Mammalia	GAFA.gz	GAFA01000001-GAFA01041036	41036	23435689	TSA	2012-12-31	2013-04-03	PRJNA62509	SAMN01093898	SRR527316
130	Camelina sativa	Viridiplantae	Streptophyta	None	GAFB.gz	GAFB01000001-GAFB01053776	53776	64498892	TSA	2013-01-21	2014-01-02	PRJNA174600	SAMN01163691	SRR571157
131	Capra hircus	Metazoa	Chordata	Mammalia	GAFC.gz	GAFC01000001-GAFC01108458	108458	56040751	TSA	2013-01-23	2013-07-19	PRJNA186655	SAMN01888076	SRR649468
132	Anolis carolinensis	Metazoa	Chordata	None	GAFD.gz	GAFD01000001-GAFD01029603	29603	37818900	TSA	2013-01-24	2013-03-14	PRJNA170187		SRR519924
133	Anopheles sinensis	Metazoa	Arthropoda	Insecta	GAFE.gz	GAFE01000001-GAFE01028133	28133	14529397	TSA	2013-01-21	2013-06-11	PRJNA186896	SAMN01892542	SRR651045
134	Medicago sativa	Viridiplantae	Streptophyta	None	GAFF.gz	GAFF01000001-GAFF01192768	192768	165050037	TSA	2013-01-26	2014-02-18	PRJNA179114		SRR611809
135	Paratrimastix pyriformis	None	None	None	GAFH.gz	GAFH01000001-GAFH01006636	6636	6795619	TSA	2013-01-25	2013-03-05	PRJNA185488	SAMN01884233	SRR651041
136	Dendroctonus frontalis	Metazoa	Arthropoda	Insecta	GAFI.gz	GAFI01000001-GAFI01020966	20966	26958328	TSA	2013-01-28	2013-02-26	PRJNA187208		SRR090531
137	Elaeis guineensis	Viridiplantae	Streptophyta	Liliopsida	GAFJ.gz	GAFJ01000001-GAFJ01000090	90	42200	TSA	2013-02-08	2013-02-21	PRJNA186405	SAMN01907094	SRR654050
138	Anolis carolinensis	Metazoa	Chordata	None	GAFK.gz	GAFK01000001-GAFK01081261	81261	102214961	TSA	2013-02-04	2013-03-14	PRJNA170187		SRR543711
139	Anolis carolinensis	Metazoa	Chordata	None	GAFL.gz	GAFL01000001-GAFL01203085	203085	235220214	TSA	2013-02-04	2013-03-15	PRJNA170187		SRR540258
140	Anolis carolinensis	Metazoa	Chordata	None	GAFM.gz	GAFM01000001-GAFM01079239	79239	101838177	TSA	2013-02-12	2013-03-14	PRJNA170187		SRR543709
141	Anolis carolinensis	Metazoa	Chordata	None	GAFN.gz	GAFN01000001-GAFN01088659	88659	79761643	TSA	2013-02-04	2013-03-14	PRJNA170187		SRR391651
142	Symbiodinium sp. clade C	None	None	Dinophyceae	GAFO.gz	GAFO01000001-GAFO01026947	26947	12537887	TSA	2013-02-13	2013-02-22	PRJNA175601		SRR629129
143	Symbiodinium sp. clade D	None	None	Dinophyceae	GAFP.gz	GAFP01000001-GAFP01023657	23657	16577744	TSA	2013-02-13	2013-02-22	PRJNA175600		SRR629089
144	Elodea nuttallii	Viridiplantae	Streptophyta	Liliopsida	GAFQ.gz	GAFQ01000001-GAFQ01039957	39957	24689483	TSA	2013-02-13	2013-02-25	PRJNA188156		ERR062145
145	Polistes canadensis	Metazoa	Arthropoda	Insecta	GAFR.gz	GAFR01000001-GAFR01045087	45087	67878956	TSA	2013-02-14	2013-02-21	PRJNA188273		ERR105080
